aircraft_code,seat_no,fare_conditions
733,2A,Business
320,2C,Business
CN1,2D,Business
321,2F,Business
733,3A,Business
SU9,3C,Business
733,3D,Business
CN1,3F,Comfort
321,4A,Business
320,4C,Business
CN1,4D,Business
CN1,4F,Business
SU9,5A,Business
319,5C,Comfort
321,5D,Business
763,5F,Business
CN1,6A,Business
319,6B,Business
763,6C,Business
321,6D,Business
773,6E,Business
319,6F,Business
CR2,7A,Business
773,7B,Business
SU9,7C,Business
733,7D,Business
320,7E,Comfort
CR2,7F,Business
SU9,8A,Business
321,8B,Comfort
SU9,8C,Business
733,8D,Business
321,8F,Business
CR2,9A,Business
733,9B,Comfort
763,9C,Business
320,9D,Business
CR2,9E,Business
763,9F,Comfort
CR2,10A,Business
321,10B,Business
763,10C,Business
320,10D,Business
733,10E,Business
CN1,10F,Business
SU9,11A,Business
773,11B,Business
320,17D,Business
763,17E,Economy
CN1,17F,Economy
320,18A,Economy
763,18B,Economy
319,18C,Economy
319,18D,Economy
320,18E,Comfort
319,18F,Economy
763,19A,Economy
763,19B,Economy
320,19C,Economy
CN1,19D,Comfort
733,20E,Economy
CR2,20F,Economy
CN1,21A,Economy
321,21B,Economy
763,21C,Economy
321,21D,Economy
CN1,21E,Comfort
CR2,21F,Economy
CR2,1A,Economy
773,1C,Economy
CR2,1D,Economy
733,1F,Economy
CR2,2A,Economy
CN1,2C,Economy
773,2D,Economy
CN1,8E,Economy
CN1,2F,Economy
SU9,3A,Economy
773,3C,Economy
CN1,3D,Economy
SU9,3F,Economy
SU9,4A,Economy
773,4C,Economy
321,4D,Economy
733,4F,Economy
CR2,5A,Economy
733,5C,Economy
CR2,5D,Economy
CN1,5F,Economy
763,6A,Economy
773,6B,Comfort
733,6C,Economy
733,6D,Economy
CN1,6E,Economy
321,6F,Economy
SU9,7A,Economy
CN1,7B,Comfort
319,7C,Comfort
SU9,7D,Economy
773,7E,Comfort
