passenger_id,satisfaction,Gender,Customer Type,Age,fare_conditions,Flight Distance,Seat comfort,seat_no,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
8149 604011,satisfied,Female,Loyal Customer,59,Economy,1470,4,2A,4,4,4,5,4,4,4,4,4,4,5,4,3,7,0.0
8499 420203,dissatisfied,Female,disloyal Customer,22,Business,1771,1,2C,1,1,4,4,1,5,4,3,4,3,1,4,4,0,0.0
1011 752484,satisfied,Male,Loyal Customer,55,Business,3657,0,2D,5,0,2,4,5,4,4,4,4,4,3,4,3,12,8.0
4849 400049,satisfied,Female,Loyal Customer,41,Comfort,1796,0,2F,4,0,1,2,4,5,3,3,3,3,5,3,3,0,0.0
6615 976589,dissatisfied,Male,Loyal Customer,42,Comfort,1709,2,3A,3,3,3,2,2,2,2,4,4,4,1,3,2,0,0.0
2021 652719,dissatisfied,Male,Loyal Customer,36,Economy,3035,3,3C,2,2,2,1,4,4,3,3,2,3,4,3,3,48,38.0
0817 363231,dissatisfied,Male,disloyal Customer,28,Business,1904,1,3D,2,2,2,2,2,1,2,1,5,1,4,5,2,0,0.0
2883 989356,satisfied,Female,Loyal Customer,58,Business,2496,5,3F,5,5,5,4,5,4,3,3,4,3,5,3,5,61,102.0
3097 995546,satisfied,Male,Loyal Customer,54,Economy,3260,5,4A,5,5,5,2,5,4,4,4,4,4,4,4,4,1,0.0
6866 920231,dissatisfied,Female,Loyal Customer,25,Business,3640,2,4C,4,2,4,2,2,2,2,4,4,1,4,3,2,86,63.0
6030 369450,satisfied,Female,Loyal Customer,32,Business,1465,4,4D,4,4,4,5,5,5,5,3,5,5,3,4,5,36,81.0
8675 588663,dissatisfied,Female,Loyal Customer,52,Economy,812,3,4F,4,4,4,3,4,4,3,3,3,3,3,3,3,0,0.0
0764 728785,satisfied,Female,disloyal Customer,29,Business,2773,4,5A,4,4,3,1,4,1,1,4,5,4,5,4,1,0,0.0
8954 972101,satisfied,Male,Loyal Customer,56,Comfort,55,3,5C,3,3,3,4,5,5,4,4,4,4,3,4,3,0,0.0
6772 748756,satisfied,Female,Loyal Customer,57,Business,1099,2,5D,2,5,2,4,5,4,4,4,5,4,4,4,4,0,0.0
7364 216524,satisfied,Female,Loyal Customer,57,Economy,728,3,5F,3,3,3,2,5,5,4,4,4,4,5,4,3,4,0.0
3635 182357,satisfied,Female,Loyal Customer,48,Economy,339,5,6A,5,1,5,3,3,1,5,5,5,5,2,5,3,0,0.0
8252 507584,satisfied,Male,Loyal Customer,23,Comfort,2074,1,6B,1,1,1,1,2,1,1,4,1,5,5,1,1,0,3.0
1026 982766,dissatisfied,Female,Loyal Customer,49,Business,491,1,6C,2,2,2,5,3,3,1,1,1,1,2,1,2,0,0.0
7107 950192,satisfied,Male,disloyal Customer,28,Economy,2161,5,6D,5,5,3,1,5,1,1,3,3,4,3,5,1,0,0.0
4765 014996,dissatisfied,Male,Loyal Customer,36,Business,2095,1,6E,5,1,3,1,1,1,1,4,3,4,3,5,1,0,4.0
3342 145536,satisfied,Male,Loyal Customer,41,Business,3553,0,6F,0,0,3,2,4,4,2,2,5,5,1,2,2,23,19.0
0001 745349,satisfied,Male,Loyal Customer,16,Comfort,1675,4,7A,4,4,4,5,5,3,5,4,3,4,1,2,5,0,0.0
7273 175330,dissatisfied,Male,Loyal Customer,66,Economy,1031,1,7B,1,1,1,1,1,1,1,1,3,4,4,3,1,0,0.0
1370 120631,dissatisfied,Male,Loyal Customer,58,Economy,1878,3,7C,1,1,1,3,3,3,3,1,4,4,2,4,3,43,46.0
5559 553314,satisfied,Female,Loyal Customer,47,Economy,499,3,7D,3,3,3,2,5,4,4,4,4,4,4,4,5,47,36.0
6544 483657,satisfied,Male,Loyal Customer,61,Economy,2338,4,7E,4,4,4,3,4,3,3,4,2,4,5,5,3,0,0.0
7011 596158,dissatisfied,Male,Loyal Customer,47,Business,3112,1,7F,5,5,5,2,4,4,1,1,1,1,4,1,1,0,0.0
6772 891759,satisfied,Female,Loyal Customer,53,Comfort,2102,4,8A,4,4,4,2,4,5,4,4,4,4,4,4,4,0,0.0
8116 659266,dissatisfied,Male,Loyal Customer,48,Business,2241,2,8B,4,3,1,3,3,3,3,3,5,4,3,5,3,0,0.0
3542 318601,satisfied,Female,Loyal Customer,59,Comfort,1682,3,8C,3,3,3,5,4,5,3,3,2,3,5,3,3,2,0.0
8511 999561,satisfied,Female,Loyal Customer,13,Comfort,2696,5,8D,5,5,5,4,5,5,4,4,4,4,5,4,3,0,0.0
0630 169679,dissatisfied,Male,disloyal Customer,49,Economy,910,2,8E,4,2,4,1,2,1,1,1,3,4,1,4,1,0,0.0
0085 303617,satisfied,Male,Loyal Customer,58,Comfort,2119,2,8F,2,2,2,3,4,5,5,5,5,4,4,5,5,0,0.0
8080 870126,satisfied,Female,Loyal Customer,51,Comfort,959,4,9A,4,4,4,3,4,5,4,4,4,4,3,4,5,2,0.0
3755 842338,dissatisfied,Female,disloyal Customer,23,Business,1574,1,9B,1,1,3,4,1,4,4,2,5,4,2,4,4,22,24.0
2295 465854,satisfied,Female,Loyal Customer,49,Comfort,3599,1,9C,1,1,1,4,5,4,5,5,5,5,3,5,4,0,0.0
4245 607929,dissatisfied,Female,Loyal Customer,20,Comfort,2170,2,9D,5,5,5,2,3,2,2,2,4,3,4,4,2,8,2.0
7859 943808,dissatisfied,Female,disloyal Customer,39,Business,2144,1,9E,1,1,3,3,1,3,3,1,3,4,3,3,3,1,0.0
2765 289085,satisfied,Female,Loyal Customer,48,Economy,3825,5,9F,5,5,5,5,3,1,4,4,4,3,4,4,1,0,5.0
4278 618557,satisfied,Male,Loyal Customer,24,Economy,2594,1,10A,1,1,1,5,5,5,5,3,2,4,2,5,5,0,0.0
5657 976071,satisfied,Female,Loyal Customer,43,Comfort,852,1,10B,1,1,1,4,4,4,4,3,3,5,4,5,4,0,0.0
